"","x"
"1",0.499339103745297
"2",0.887151125911623
"3",0.752472983114421
"4",0.273719163518399
"5",0.520216728257947
"6",0.96879633849021
"7",0.378048026864417
"8",0.898540346138179
"9",0.998734287568368
"10",0.80933513068594
"11",0.367716889479198
"12",0.962101995106787
"13",0.790492039453238
"14",0.59145751753822
"15",0.414452899224125
"16",0.273733939765953
"17",0.26439284638036
"18",0.534850287740119
"19",0.343702663551085
"20",0.46331421197392
"21",0.203270401852205
"22",0.155047029047273
"23",0.139412122569047
"24",0.554542625439353
"25",0.166880518011749
"26",0.551280942349695
"27",0.355540482397191
"28",0.884111686679535
"29",0.119472148665227
"30",0.41445538487751
"31",0.367386297998019
"32",0.707278955006041
"33",0.333867921540514
"34",0.64112012933474
"35",0.141794087830931
"36",0.157366263726726
"37",0.912383442698047
"38",0.507932737772353
"39",0.74481520995032
"40",0.668719809898175
"41",0.771952002425678
"42",0.167335617006756
"43",0.278320331522264
"44",0.885972857684828
"45",0.576748828752898
"46",0.609583684056997
"47",0.336984267667867
"48",0.388094205106609
"49",0.968312633107416
"50",0.313694122084416
"51",0.718348887586035
"52",0.92904701991938
"53",0.129176417551935
"54",0.926329987449572
"55",0.692015578271821
"56",0.963037292705849
"57",0.890266036428511
"58",0.406137022608891
"59",0.964667206373997
"60",0.753137593856081
"61",0.927945087151602
"62",0.709997368394397
"63",0.328463981999084
"64",0.513186614424922
"65",0.246016252064146
"66",0.181719599454664
"67",0.954685495654121
"68",0.467052823258564
"69",0.365935631538741
"70",0.390845260350034
"71",0.10313021754846
"72",0.461754727456719
"73",0.367181532504037
"74",0.782178351981565
"75",0.233272615610622
"76",0.781272333837114
"77",0.629443882987834
"78",0.621043970249593
"79",0.85235327037517
"80",0.991171407816
"81",0.75359235338401
"82",0.292952040489763
"83",0.877182347839698
"84",0.756648498796858
"85",0.526884204288945
"86",0.237533997814171
"87",0.153685016720556
"88",0.537060216115788
"89",0.907298881746829
"90",0.300076806545258
"91",0.589991499413736
"92",0.3918892825488
"93",0.723006782215089
"94",0.409637178387493
"95",0.383438575477339
"96",0.108331136289053
"97",0.830876831593923
"98",0.710679377871566
"99",0.427163732680492
"100",0.315629553189501
"101",0.400950926216319
"102",0.390274253883399
"103",0.493120962264948
"104",0.82901576012373
"105",0.530962684354745
"106",0.592689191899262
"107",0.440702167805284
"108",0.542925704526715
"109",0.468835341418162
"110",0.958686574501917
"111",0.340987921017222
"112",0.424769987491891
"113",0.108989595551975
"114",0.136801056633703
"115",0.95706169793848
"116",0.53483828024473
"117",0.495023675030097
"118",0.447102430649102
"119",0.127063715900294
"120",0.27933388906531
"121",0.14815728275571
"122",0.343720875331201
"123",0.322284037270583
"124",0.318175358674489
"125",0.454840478557162
"126",0.772554443334229
"127",0.485361747746356
"128",0.366495664417744
"129",0.976954557793215
"130",0.403333834651858
"131",0.118196062161587
"132",0.299177972320467
"133",0.25034458450973
"134",0.43190606974531
"135",0.118779779365286
"136",0.310102507588454
"137",0.684077807422727
"138",0.895333250192925
"139",0.381174877821468
"140",0.26479598574806
"141",0.948990456177853
"142",0.44342606945429
"143",0.586466983100399
"144",0.697991686221212
"145",0.754327520891093
"146",0.636343269306235
"147",0.120508107892238
"148",0.47287278578151
