"","x"
"1",-0.946744505322737
"2",-0.451559911130887
"3",-0.544153620106913
"4",0.490881520446667
"5",-0.18996395485203
"6",0.295458202208893
"7",0.394403561257763
"8",1.15458118151021
"9",1.33937299363054
"10",-2.28142125051425
"11",-1.84262169643986
"12",-0.625196137213525
"13",-0.793603564498813
"14",0.176271034977895
"15",-0.845563720429074
"16",1.09894631815341
"17",-0.209873120157154
"18",-0.658514297376145
"19",-0.31887103127453
"20",-0.89548082359566
"21",-0.0577262317704678
"22",-0.461807492531313
"23",-0.21415871525252
"24",1.14922778222294
"25",-0.178500173876101
"26",0.178468226318313
"27",-0.00230371830363117
"28",-2.17360843453726
"29",-1.47318993299394
"30",-1.12915686355953
"31",-0.134642826804627
"32",0.29185059819241
"33",-0.332490658800385
"34",-0.99561088980522
"35",-0.129357718173063
"36",-0.0268291109204561
"37",-0.362607609910622
"38",1.61037214598523
"39",-0.479682983177323
"40",0.0119986803229902
"41",1.12693617682159
"42",0.62612244704367
"43",-1.34441179584747
"44",-0.977848545037078
"45",0.52452049003824
"46",0.0272280370681407
"47",-0.299178929496933
"48",0.492006213496349
"49",-2.59651208093205
"50",1.8855175797554
"51",-1.09020990185101
"52",-1.12478946405412
"53",-0.863447615667974
"54",0.694367693713813
"55",1.09825694830348
"56",1.02607788930206
"57",0.76782582693822
"58",-1.87792402213259
"59",-0.607215526840982
"60",-1.31056832560434
"61",-1.67255284536639
"62",1.27436842809231
"63",-0.798972595771409
"64",-0.771634708580577
"65",-1.37868343125509
"66",0.110126661063385
"67",1.16596651093838
"68",0.866916160159922
"69",-0.164297471039754
"70",0.871765974007435
"71",0.745113910501425
"72",-0.8127167339482
"73",-0.288540383326206
"74",0.865950082555054
"75",0.0422792163989466
"76",0.119514449040394
"77",-0.912424229325525
"78",-1.08925334843061
"79",0.299126175518009
"80",0.712160897693104
"81",-0.814995625416495
"82",-0.190281321699225
"83",0.150305344950369
"84",-0.736402473894021
"85",0.244939460346076
"86",1.12953060817476
"87",-0.106747840695496
